Reactant,TS,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1079_MA-TS_47-48_Reactant,1079_MA-TS_47-48,1079_MA-TS_47-48_Product,-0.403286933286,-0.409553711796,-0.424699858441,0.318675,0.319069,0.303676,-3.93,9.5,-13.44,0.25,9.66,-9.41
1081_MA-TS_48-49_Reactant,1081_MA-TS_48-49,1081_MA-TS_48-49_Product,-0.505542554869,-0.4973869184,-0.540790529349,0.214919,0.226316,0.192628,5.12,27.24,-22.12,7.15,21.14,-13.99
1082_MA-TS_38-39_Reactant,1082_MA-TS_38-39,1082_MA-TS_38-39_Product,-0.308649801737,-0.291960354259,-0.303110567304,0.359607,0.374461,0.368976,10.47,7.0,3.48,9.32,3.44,5.88
1083_MA-TS_46-47_Reactant,1083_MA-TS_46-47,1083_MA-TS_46-47_Product,-0.3566270602,-0.342399184474,-0.366944577339,0.382421,0.402731,0.377376,8.93,15.4,-6.47,12.74,15.91,-3.17
1084_MA-TS_46-47_Reactant,1084_MA-TS_46-47,1084_MA-TS_46-47_Product,-0.45880427337,-0.468795049721,-0.480366060408,0.243504,0.238938,0.22503,-6.27,7.26,-13.53,-2.87,8.73,-11.59
1088_MA-TS_32-33_Reactant,1088_MA-TS_32-33,1088_MA-TS_32-33_Product,-0.149549045863,-0.148349009662,-0.163466798577,0.363547,0.365517,0.35397,0.75,9.49,-8.73,1.24,7.25,-6.01
1089_MA-TS_33-34_Reactant,1089_MA-TS_33-34,1089_MA-TS_33-34_Product,-0.17080007186,-0.172205334838,-0.173983228885,0.366547,0.368711,0.368076,-0.88,1.12,-2.0,1.36,0.4,0.96
1094_MA-TS_32-33_Reactant,1094_MA-TS_32-33,1094_MA-TS_32-33_Product,-0.168743123537,-0.136121553051,-0.146067266256,0.345853,0.384812,0.374204,20.47,6.24,14.23,24.45,6.66,17.79
1095_MA-TS_33-34_Reactant,1095_MA-TS_33-34,1095_MA-TS_33-34_Product,-0.190617633519,-0.1883143287,-0.200474507548,0.322903,0.332609,0.320514,1.45,7.63,-6.19,6.09,7.59,-1.5
1097_MA-TS_29-30_Reactant,1097_MA-TS_29-30,1097_MA-TS_29-30_Product,-0.110980131666,-0.96429205375,-0.106393262889,0.33766,0.351892,0.343598,-535.46,-538.34,2.88,8.93,5.2,3.73
1104_MA-TS_31-32_Reactant,1104_MA-TS_31-32,1104_MA-TS_31-32_Product,-0.169292220496,-0.180479677342,-0.183495090152,0.270901,0.263099,0.258465,-7.02,1.89,-8.91,-4.9,2.91,-7.8
1105_MA-TS_33-34_Reactant,1105_MA-TS_33-34,1105_MA-TS_33-34_Product,-0.10882313662,-0.103168200616,-0.115558548726,0.417299,0.424937,0.41762,3.55,7.78,-4.23,4.79,4.59,0.2
