Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
334_MA-TS_5-6_Reactant,334_MA-TS_5-6,334_MA-TS_5-6_Product,0.26,10.24,-9.98,0.92,9.86,-8.94,-1.36,17.25,-18.61,-3.24,17.02,-20.26
335_MA-TS_5-6_Reactant,335_MA-TS_5-6,335_MA-TS_5-6_Product,3.53,10.77,-7.24,4.01,7.76,-3.75,-6.59,13.78,-20.36,-7.57,11.96,-19.53
345_MA-TS_5-6_Reactant,345_MA-TS_5-6,345_MA-TS_5-6_Product,0.57,9.36,-8.79,1.75,6.55,-4.8,-2.18,22.16,-24.34,-3.43,19.3,-22.73
346_MA-TS_5-6_Reactant,346_MA-TS_5-6,346_MA-TS_5-6_Product,4.35,0.24,4.12,6.48,0.71,5.77,-4.6,1.94,-6.54,-3.96,1.75,-5.71
351_MA-TS_5-6_Reactant,351_MA-TS_5-6,351_MA-TS_5-6_Product,0.7,4.42,-3.72,1.83,4.13,-2.29,-1.28,10.06,-11.33,-1.06,11.28,-12.34
352_MA-TS_5-6_Reactant,352_MA-TS_5-6,352_MA-TS_5-6_Product,1.22,8.37,-7.15,2.26,7.47,-5.21,-5.8,18.93,-24.73,-2.77,22.99,-25.76
357_MA-TS_5-6_Reactant,357_MA-TS_5-6,357_MA-TS_5-6_Product,8.89,10.28,-1.39,9.83,9.02,0.81,-4.98,4.64,-9.62,-3.74,3.85,-7.59
358_MA-TS_5-6_Reactant,358_MA-TS_5-6,358_MA-TS_5-6_Product,2.87,11.02,-8.15,4.53,7.63,-3.1,-2.53,19.35,-21.88,-3.12,11.19,-14.32
359_MA-TS_5-6_Reactant,359_MA-TS_5-6,359_MA-TS_5-6_Product,9.79,0.75,9.04,9.13,0.33,8.8,-2.86,7.74,-10.6,-0.77,8.96,-9.72
360_MA-TS_5-6_Reactant,360_MA-TS_5-6,360_MA-TS_5-6_Product,9.96,3.84,6.12,9.79,4.0,5.79,-1.33,12.99,-14.31,-1.16,11.09,-12.25
364_MA-TS_5-6_Reactant,364_MA-TS_5-6,364_MA-TS_5-6_Product,8.66,1.77,6.89,10.42,1.08,9.34,-1.05,5.61,-6.66,1.55,7.77,-6.22
372_MA-TS_5-6_Reactant,372_MA-TS_5-6,372_MA-TS_5-6_Product,8.47,2.18,6.29,8.87,1.45,7.42,1.13,6.6,-5.47,3.91,6.88,-2.97
397_MA-TS_5-6_Reactant,397_MA-TS_5-6,397_MA-TS_5-6_Product,1.93,4.88,-2.95,4.59,5.69,-1.1,0.43,12.91,-12.48,6.28,13.75,-7.47
403_MA-TS_5-6_Reactant,403_MA-TS_5-6,403_MA-TS_5-6_Product,5.42,9.0,-3.58,6.16,7.7,-1.53,-1.87,17.43,-19.3,-1.67,14.06,-15.73
404_MA-TS_5-6_Reactant,404_MA-TS_5-6,404_MA-TS_5-6_Product,13.77,0.14,13.63,15.03,0.17,14.86,2.12,2.29,-0.16,3.69,-0.09,3.78
406_MA-TS_5-6_Reactant,406_MA-TS_5-6,406_MA-TS_5-6_Product,20.64,1.66,18.98,21.42,2.17,19.25,8.81,3.94,4.87,9.33,0.48,8.85
408_MA-TS_5-6_Reactant,408_MA-TS_5-6,408_MA-TS_5-6_Product,13.89,3.72,10.18,12.78,3.66,9.13,7.18,7.66,-0.48,5.86,4.41,1.46
409_MA-TS_5-6_Reactant,409_MA-TS_5-6,409_MA-TS_5-6_Product,18.26,1.4,16.86,18.0,1.61,16.39,9.12,4.37,4.74,11.73,5.24,6.49
411_MA-TS_5-6_Reactant,411_MA-TS_5-6,411_MA-TS_5-6_Product,16.03,1.74,14.3,17.13,0.59,16.54,4.01,2.93,1.08,6.21,2.33,3.88
413_MA-TS_5-6_Reactant,413_MA-TS_5-6,413_MA-TS_5-6_Product,37.14,1.5,35.65,30.35,0.83,29.52,28.75,5.26,23.48,27.5,5.12,22.39
415_MA-TS_5-6_Reactant,415_MA-TS_5-6,415_MA-TS_5-6_Product,25.4,1.77,23.63,24.73,1.34,23.39,16.78,2.22,14.57,18.51,-0.07,18.58
417_MA-TS_5-6_Reactant,417_MA-TS_5-6,417_MA-TS_5-6_Product,16.34,8.75,7.59,17.13,6.46,10.68,2.87,10.77,-7.9,6.47,8.34,-1.87
420_MA-TS_5-6_Reactant,420_MA-TS_5-6,420_MA-TS_5-6_Product,31.57,5.4,26.17,32.3,5.48,26.82,20.47,7.36,13.11,21.14,4.73,16.41
422_MA-TS_5-6_Reactant,422_MA-TS_5-6,422_MA-TS_5-6_Product,0.71,5.01,-4.3,1.98,5.22,-3.24,-1.47,13.49,-14.96,0.66,15.14,-14.48
423_MA-TS_5-6_Reactant,423_MA-TS_5-6,423_MA-TS_5-6_Product,19.27,13.09,6.18,21.78,11.87,9.91,19.12,15.68,3.44,16.6,12.95,3.65
427_MA-TS_5-6_Reactant,427_MA-TS_5-6,427_MA-TS_5-6_Product,0.76,4.18,-3.43,2.96,3.03,-0.07,-4.71,15.5,-20.21,-3.5,15.99,-19.49
430_MA-TS_5-6_Reactant,430_MA-TS_5-6,430_MA-TS_5-6_Product,10.55,2.96,7.59,11.41,1.8,9.62,0.08,3.56,-3.48,1.42,3.57,-2.14
431_MA-TS_5-6_Reactant,431_MA-TS_5-6,431_MA-TS_5-6_Product,23.19,1.33,21.86,24.94,1.46,23.49,9.04,0.95,8.09,8.74,1.84,6.9
433_MA-TS_5-6_Reactant,433_MA-TS_5-6,433_MA-TS_5-6_Product,7.11,1.93,5.19,10.23,1.55,8.68,-3.2,3.23,-6.42,0.85,5.86,-5.01
434_MA-TS_5-6_Reactant,434_MA-TS_5-6,434_MA-TS_5-6_Product,4.46,6.31,-1.85,6.86,5.07,1.79,0.1,9.07,-8.97,-0.03,7.96,-8.0
435_MA-TS_5-6_Reactant,435_MA-TS_5-6,435_MA-TS_5-6_Product,16.04,8.55,7.49,14.38,6.42,7.96,1.0,5.87,-4.88,0.05,9.42,-9.37
436_MA-TS_5-6_Reactant,436_MA-TS_5-6,436_MA-TS_5-6_Product,2.8,4.33,-1.52,3.1,3.21,-0.11,-5.52,9.68,-15.2,-5.27,7.23,-12.51
449_MA-TS_5-6_Reactant,449_MA-TS_5-6,449_MA-TS_5-6_Product,26.08,1.06,25.02,23.52,1.33,22.2,14.45,0.76,13.69,18.16,-1.83,19.99
456_MA-TS_17-18_Reactant,456_MA-TS_17-18,456_MA-TS_17-18_Product,5.06,2.84,2.22,7.33,4.08,3.25,-10.27,6.76,-17.03,-7.61,9.0,-16.61
