Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR,HR,HTS,HP,freqR,freqTS,freqP,irR,irTS,irP,dipoleR,dipoleTS,dipoleP,homoR,homoTS,homoP,lumoR,lumoTS,lumoP,qhirshR,qhirshTS,qhirshP
659_MA-TS_37-38_Reactant,659_MA-TS_37-38,659_MA-TS_37-38_Product,-0.361344441509,-0.3537210112,-0.357738754789,0.256786,0.271992,0.264555,4.78,2.52,2.26,9.54,4.67,4.88,0.36638,0.372939,0.361849,-204.6082,-570.6778,-669.1696,1.9633,51.9045,154.3583,11.0064,93.7841,10.8297,-0.17304,-0.17109,-0.16711,0.07247,0.07558,0.07787,4.8e-05,4.9e-05,5e-05
661_MA-TS_38-39_Reactant,661_MA-TS_38-39,661_MA-TS_38-39_Product,-0.416493924754,-0.400103651533,-0.42073555871,0.194012,0.212908,0.19528,10.29,12.95,-2.66,11.86,11.06,0.8,0.299563,0.320059,0.300644,-403.7378,-211.019,-179.3847,25.5974,330.2676,0.0991,14.2503,62.0953,12.3315,-0.16611,-0.17175,-0.17836,0.05448,0.04833,0.05235,4.7e-05,4.6e-05,4.5e-05
663_MA-TS_21-22_Reactant,663_MA-TS_21-22,663_MA-TS_21-22_Product,-0.301464099398,-0.3083646787,-0.321561969643,0.081497,0.076958,0.062922,-4.33,8.28,-12.61,-2.85,8.81,-11.66,0.164136,0.15532,0.143533,-203.3763,-492.6464,-218.9985,1.4355,21.6323,2.0291,17.6547,47.5664,11.8167,-0.14667,-0.15705,-0.15561,0.05464,0.06135,0.065,-77.750959,-77.893437,-78.277449
666_MA-TS_28-29_Reactant,666_MA-TS_28-29,666_MA-TS_28-29_Product,-0.315083128263,-0.312741288624,-0.343329004465,0.135054,0.135952,0.111829,1.47,19.19,-17.72,0.56,15.14,-14.57,0.225248,0.225502,0.196498,-204.8547,-521.1994,-259.7489,1.8908,21.2655,13.4368,11.8975,58.6688,15.9415,-0.16116,-0.17033,-0.16557,0.04669,0.03559,0.03712,-96.609362,-96.679903,-97.125769
672_MA-TS_37-38_Reactant,672_MA-TS_37-38,672_MA-TS_37-38_Product,-0.434743324666,-0.426178504611,-0.429029057143,0.183855,0.198089,0.19634,5.37,1.79,3.59,8.93,1.1,7.83,0.299387,0.307195,0.307235,-657.247,-582.4544,-465.3741,27.9593,24.9482,21.8023,8.1668,72.4366,13.5652,-0.18133,-0.17792,-0.17198,0.06206,0.06039,0.05944,4.3e-05,4.4e-05,4.4e-05
673_MA-TS_33-34_Reactant,673_MA-TS_33-34,673_MA-TS_33-34_Product,-0.295727661389,-0.267957354804,-0.297962234297,0.260992,0.291585,0.267987,17.43,18.83,-1.4,19.2,14.81,4.39,0.360269,0.389001,0.363153,-497.612,-255.5322,-149.0166,20.2141,452.4868,0.8466,6.2296,56.8195,18.5873,-0.16204,-0.1658,-0.16613,0.07826,0.05771,0.05569,4.1e-05,4.8e-05,4.9e-05
677_MA-TS_25-26_Reactant,677_MA-TS_25-26,677_MA-TS_25-26_Product,-0.420434808451,-0.425045576505,-0.445423550661,0.302181,0.288657,0.272735,-2.89,12.79,-15.68,-8.49,9.99,-18.48,0.427342,0.417184,0.40056,-175.8189,-843.1229,-301.8847,0.1065,36.5493,11.5374,10.4653,117.5178,2.1651,-0.15405,-0.18947,-0.18642,0.03122,0.05023,0.05331,3.7e-05,4.2e-05,4.3e-05
678_MA-TS_22-23_Reactant,678_MA-TS_22-23,678_MA-TS_22-23_Product,-0.385852923806,-0.393643066025,-0.428197735003,0.309961,0.305328,0.272859,-4.89,21.68,-26.57,-2.91,20.37,-23.28,0.428019,0.419836,0.391702,-713.0727,-320.8488,-204.7547,20.5545,10.7866,2.2467,23.8628,104.0925,15.5998,-0.15895,-0.17592,-0.19023,0.01512,0.02232,0.01736,4.3e-05,4.6e-05,4.8e-05
680_MA-TS_5-6_Reactant,680_MA-TS_5-6,680_MA-TS_5-6_Product,-0.319035218395,-0.329987224616,-0.349512580774,0.393906,0.386218,0.369087,-6.87,12.25,-19.12,-4.82,10.75,-15.57,0.512843,0.504762,0.485871,-194.0608,-217.2328,-217.5089,0.5672,642.2549,0.9366,28.3299,30.5953,19.6337,-0.15868,-0.18195,-0.1841,0.03226,0.0201,0.01855,4.7e-05,5e-05,5e-05
681_MA-TS_24-25_Reactant,681_MA-TS_24-25,681_MA-TS_24-25_Product,-0.485637906011,-0.487083636535,-0.506831027791,0.211575,0.21521,0.193969,-0.91,12.39,-13.3,2.28,13.33,-11.05,0.335197,0.33432,0.312219,-284.2952,-210.2332,-799.2955,43.8422,588.9509,31.5935,9.0653,87.2811,7.8616,-0.16145,-0.18815,-0.1848,0.04933,0.05399,0.0503,3.3e-05,3.6e-05,3.8e-05
